647 1711041944 0,200000 -1,000000 -101,000000 0,000000 0,000000
647 1711041945 0,200000 -1,000000 -101,000000 0,000000 0,000000
647 1711041946 0,200000 -1,000000 -101,000000 0,000000 0,000000
647 1711041947 0,200000 -1,000000 -101,000000 0,000000 0,000000
647 1711041948 0,200000 -1,000000 -101,000000 0,000000 0,000000
647 1711041949 0,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711041950 0,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711041951 0,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711041952 0,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711041953 0,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711041954 0,600000 -1,000000 -101,000000 0,000000 0,000000
647 1711041955 0,600000 -1,000000 -101,000000 0,000000 0,000000
647 1711041956 0,600000 -1,000000 -101,000000 0,000000 0,000000
647 1711041957 0,600000 -1,000000 -101,000000 0,000000 0,000000
647 1711041958 0,600000 -1,000000 -101,000000 0,000000 0,000000
647 1711041959 0,800000 -1,000000 -101,000000 0,000000 0,000000
647 1711041960 0,800000 -1,000000 -101,000000 0,000000 0,000000
647 1711041961 0,800000 -1,000000 -101,000000 0,000000 0,000000
647 1711041962 0,800000 -1,000000 -101,000000 0,000000 0,000000
647 1711041963 0,800000 -1,000000 -101,000000 0,000000 0,000000
647 1711041964 1,000000 -1,000000 -101,000000 0,000000 0,000000
647 1711041965 1,000000 -1,000000 -101,000000 0,000000 0,000000
647 1711041966 1,000000 -1,000000 -101,000000 0,000000 0,000000
647 1711041967 1,000000 -1,000000 -101,000000 0,000000 0,000000
647 1711041968 1,000000 -1,000000 -101,000000 0,000000 0,000000
647 1711041969 0,600000 -1,000000 -101,000000 0,000000 0,000000
647 1711041970 0,600000 -1,000000 -101,000000 0,000000 0,000000
647 1711041971 0,600000 -1,000000 -101,000000 0,000000 0,000000
647 1711041972 0,600000 -1,000000 -101,000000 0,000000 0,000000
647 1711041973 0,600000 -1,000000 -101,000000 0,000000 0,000000
647 1711041974 1,000000 -1,000000 -101,000000 0,000000 0,000000
647 1711041975 1,000000 -1,000000 -101,000000 0,000000 0,000000
647 1711041976 1,000000 -1,000000 -101,000000 0,000000 0,000000
647 1711041977 1,000000 -1,000000 -101,000000 0,000000 0,000000
647 1711041978 1,000000 -1,000000 -101,000000 0,000000 0,000000
647 1711041979 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711041980 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711041981 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711041982 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711041983 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711041984 1,000000 -1,000000 -101,000000 0,000000 0,000000
647 1711041985 1,000000 -1,000000 -101,000000 0,000000 0,000000
647 1711041986 1,000000 -1,000000 -101,000000 0,000000 0,000000
647 1711041987 1,000000 -1,000000 -101,000000 0,000000 0,000000
647 1711041988 1,000000 -1,000000 -101,000000 0,000000 0,000000
647 1711041989 1,600000 -1,000000 -101,000000 0,000000 0,000000
647 1711041990 1,600000 -1,000000 -101,000000 0,000000 0,000000
647 1711041991 1,600000 -1,000000 -101,000000 0,000000 0,000000
647 1711041992 1,600000 -1,000000 -101,000000 0,000000 0,000000
647 1711041993 1,600000 -1,000000 -101,000000 0,000000 0,000000
647 1711041994 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711041995 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711041996 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711041997 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711041998 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711041999 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711042000 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711042001 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711042002 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711042003 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711042004 1,200000 -1,000000 -101,000000 0,000000 0,000000
647 1711042005 1,200000 -1,000000 -101,000000 0,000000 0,000000
647 1711042006 1,200000 -1,000000 -101,000000 0,000000 0,000000
647 1711042007 1,200000 -1,000000 -101,000000 0,000000 0,000000
647 1711042008 1,200000 -1,000000 -101,000000 0,000000 0,000000
647 1711042009 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711042010 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711042011 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711042012 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711042013 1,400000 -1,000000 -101,000000 0,000000 0,000000
647 1711042014 1,600000 -1,000000 -101,000000 0,000000 0,000000
